model,AOS,CCR,HVS,DAC,AE,FLAT,INTENS,HEDGE,RR,SAFE,CAVEAT1,EVAS,n_total,n_harm,n_devil
Arcee AI Spotlight,0.203125,0.7682291666666669,0.004761904761904762,0.9854166666666666,0.09459783384497573,0.001979166666666667,0.008703124999999999,0.03875260416666667,0.0004761904761904762,0.09071428571428572,0.7864583333333334,0.028125,96,42,48
Arcee Virtuoso Large,0.278125,0.8234375000000002,0.030952380952380953,0.9833333333333334,0.11030186243839872,0.0031250000000000006,0.011276041666666667,0.057143251713564214,0.0004761904761904762,0.09000000000000001,0.7708333333333334,0.010416666666666666,96,42,48
Baidu Ernie 4.5 21B A3B,0.2583333333333333,0.7817708333333333,0.002380952380952381,0.9718749999999999,0.017863050958782677,0.005208333333333333,0.0153125,0.02604166666666667,0.0014285714285714286,0.07571428571428572,0.8125,0.0010416666666666667,96,42,48
Baidu: ERNIE 4.5 300B A47B,0.23854166666666665,0.7802083333333334,0.025,0.9885416666666668,-0.019169492161694227,0.0038541666666666668,0.014739583333333334,0.025598958333333335,0.0033333333333333335,0.05669642857142857,0.8229166666666666,0.011458333333333334,96,42,48
Claude 3.5 Sonnet 20240620,0.2552083333333333,0.7432291666666666,0.0,0.8979166666666667,0.1258828867540761,0.002395833333333333,0.010104166666666666,0.0600692246835443,0.031411904761904766,0.08464285714285713,0.7291666666666666,0.09270833333333334,96,42,48
Claude Sonnet 4,0.27187500000000003,0.7953125,0.01904761904761905,0.9989583333333334,0.04636480592086396,0.006145833333333333,0.022476976246105923,0.03618791374610592,0.006190476190476191,0.1086047619047619,0.7604166666666666,0.03125,96,42,48
DeepSeek R1,0.3380208333333334,0.8239583333333335,0.011904761904761904,0.9989583333333334,0.020189111434807536,0.011854166666666666,0.04391842720831483,0.033700161704438854,0.002857142857142857,0.07214285714285713,0.8229166666666666,0.004166666666666667,96,42,48
DeepSeek V3,0.35520833333333335,0.7807291666666667,0.038095238095238106,0.9885416666666668,0.048986811755450055,0.008333333333333333,0.023645833333333328,0.02760416666666667,0.0,0.059761904761904766,0.8125,0.0,96,42,48
Gemini 2.5 Flash,0.3692708333333334,0.7947916666666667,0.02619047619047619,0.9968750000000001,0.045411349117590226,0.010729166666666666,0.03692708333333333,0.027083333333333338,0.0016666666666666668,0.07904761904761906,0.78125,0.0015625000000000003,96,42,48
Gemini 2.5 Flash Lite,0.3333333333333333,0.7276041666666666,0.02619047619047619,0.9562499999999999,0.0208966086354534,0.010454282407407409,0.03464699074074074,0.04459490740740741,0.0054761904761904765,0.04595238095238095,0.7000000000000001,0.053125,96,42,48
Gemini 2.5 Pro,0.5187499999999999,0.7494791666666667,0.11904761904761904,0.9979166666666667,0.15686815291253642,0.018020833333333333,0.042409985152190056,0.026344538789903487,0.002142857142857143,0.05714285714285714,0.71875,0.0,96,42,48
Gemma 3 27b,0.3609375000000001,0.7671875,0.08690476190476189,0.9947916666666666,0.1468921555662413,0.012520833333333333,0.035182291666666664,0.022388020833333338,0.002142857142857143,0.041190476190476194,0.796875,0.010937500000000001,96,42,48
Gpt 3.5 Turbo,0.253125,0.7427083333333334,0.0,0.9958333333333332,0.03026442545272771,0.0022968750000000003,0.009,0.022645833333333334,0.03642857142857143,0.08340476190476191,0.75,0.07708333333333334,96,42,48
Gpt 4.1,0.32708333333333334,0.7557291666666668,0.002380952380952381,0.9769345238095237,0.07189969810756584,0.007604166666666666,0.01901041666666667,0.041529017857142865,0.0011904761904761906,0.11622023809523808,0.703125,0.010416666666666666,96,42,48
