model,AOS,CCR,HVS,DAC,AE,FLAT,INTENS,HEDGE,RR,SAFE,CAVEAT1,EVAS,n_total,n_harm,n_devil
Arcee AI Spotlight,0.2421875,0.7588541666666667,0.004761904761904762,0.9802083333333332,0.08335893191835796,0.0066302506775067745,0.012026084010840108,0.12192246612413116,0.0,0.09803396044008693,0.7916666666666666,0.009375,96,42,48
Arcee Virtuoso Large,0.3067708333333333,0.7989583333333333,0.04642857142857143,0.975,0.1430611040008765,0.0034375,0.0128125,0.03076041666666667,0.0007142857142857143,0.08095238095238096,0.7697916666666668,0.0031249999999999997,96,42,48
Baidu Ernie 4.5 21B A3B,0.2348958333333333,0.803125,0.01904761904761905,0.9970195374800638,-0.007880366650771665,0.003958333333333334,0.05883152173913043,0.04079557914673047,0.0014285714285714286,0.09955357142857144,0.8489583333333334,0.0,96,42,48
Baidu: ERNIE 4.5 300B A47B,0.26875,0.734375,0.025,0.990625,-0.025526946387409825,0.0169373261657335,0.033231672575263535,0.15857836994247462,0.0,0.08519526329050138,0.8072916666666666,0.0010416666666666667,96,42,48
Claude 3.5 Haiku,0.240625,0.7546874999999998,0.0,0.9447916666666666,-0.01694049230477604,0.00020833333333333335,0.02650896705665025,0.07126319926481565,0.018602380952380954,0.14879569707401036,0.8125,0.05625,96,42,48
Claude 3.5 Sonnet 20240620,0.278125,0.7468750000000001,0.023809523809523808,0.9102678571428572,0.003136383930783843,0.0035416666666666665,0.011562499999999998,0.06508309331797235,0.03151785714285714,0.13001400560224088,0.7604166666666666,0.13645833333333332,96,42,48
Claude Sonnet 4,0.26510416666666664,0.765625,0.0071428571428571435,0.9979166666666667,0.06255019413195664,0.005666666666666667,0.030811613475177302,0.10082155660881727,0.006190476190476191,0.1437175697865353,0.7697916666666668,0.011458333333333334,96,42,48
DeepSeek R1,0.3125,0.8234375000000002,0.03333333333333334,0.9814764414013629,0.062223000662600274,0.013353078269875389,0.054266522737041516,0.06792947507272125,0.002619047619047619,0.07691420754348251,0.8125,0.0,96,42,48
DeepSeek V3,0.3364583333333333,0.7718750000000001,0.01904761904761905,0.991609765464014,0.02645602164598074,0.006354166666666667,0.04371490351653693,0.12307320154060174,0.002142857142857143,0.07121192621192621,0.8072916666666666,0.0,96,42,48
Gemini 2.0 flash,0.3302083333333333,0.7729166666666666,0.05833333333333333,0.9791666666666666,0.011719409452847808,0.0057083333333333335,0.03403672542735043,0.03141693376068377,0.016458333333333335,0.047678571428571424,0.7395833333333334,0.049999999999999996,96,42,48
Gemini 2.5 Flash,0.38125000000000003,0.790625,0.02619047619047619,0.9989583333333334,0.09135982959316366,0.009166666666666667,0.031927083333333335,0.025989583333333333,0.0016666666666666666,0.1007142857142857,0.8125,0.0020833333333333333,96,42,48
Gemini 2.5 Flash Lite,0.35885416666666664,0.7453124999999999,0.05833333333333333,0.99375,0.087036239451353,0.015155869829683699,0.0371086146593674,0.034232295482295484,0.006428571428571429,0.07976190476190477,0.7552083333333334,0.021875000000000002,96,42,48
Gemini 2.5 Pro,0.5255208333333333,0.78125,0.10714285714285712,0.9980994327261105,0.1283198563993294,0.020309577468773512,0.041571638302972204,0.031854517137982756,0.0016666666666666668,0.05316947928125511,0.75,0.0,96,42,48
Gemma 3 12b,0.340625,0.7859375000000001,0.03333333333333333,0.9733678955453149,0.09307924432950337,0.009270833333333334,0.055243638203797636,0.08171000851299702,0.007142857142857143,0.07036267995570322,0.75,0.010416666666666666,96,42,48
Gemma 3 27b,0.32135416666666666,0.7458333333333332,0.05952380952380952,0.9931595622119817,0.21149048996369535,0.012526041666666668,0.04578409582680296,0.05530706685227855,0.0016666666666666668,0.0901597113204256,0.6979166666666666,0.020833333333333332,96,42,48
Gpt 3.5 Turbo,0.25833333333333336,0.7223958333333335,0.004761904761904762,0.9770833333333333,0.03630212936508134,0.0015625000000000003,0.01553713768115942,0.04438896437198068,0.034095238095238095,0.07647619047619048,0.6979166666666666,0.10104166666666665,96,42,48
Gpt 4.1,0.3458333333333334,0.7598958333333333,0.04047619047619048,0.978125,0.047811421244631225,0.0065625,0.03696821317022384,0.05259424202379426,0.0011904761904761906,0.11199037829829891,0.7114583333333333,0.0010416666666666667,96,42,48
Gpt 4.1 mini,0.28125,0.7593749999999999,0.017857142857142856,0.9968749999999998,-0.006276287985571411,0.004583333333333334,0.026831487341772153,0.08313575191893348,0.0004761904761904762,0.11010390070921984,0.78125,0.0,96,42,48
Gpt 4o,0.3177083333333333,0.7692708333333332,0.03571428571428571,0.9895833333333334,-0.03792925667710112,0.017295751633986927,0.03341531284342646,0.06691573347799085,0.0014285714285714288,0.09418904947997436,0.8125,0.026041666666666668,96,42,48
Gpt 4o Mini,0.2635416666666667,0.7223958333333332,0.014285714285714287,0.9552083333333332,0.09350953446355584,0.0028125000000000003,0.009166666666666668,0.03382291666666667,0.0,0.058184523809523804,0.6875,0.0010416666666666667,96,42,48
Gpt 5,0.16354166666666667,0.5328125,0.02023809523809524,0.9197916666666668,-0.040213104357555554,0.0007291666666666667,0.011250000000000001,0.03333333333333333,0.05,0.06452380952380952,0.5104166666666666,0.3229166666666667,96,42,48
Gpt 5 Nano,0.27760416666666665,0.8296875,0.002380952380952381,0.983948055028463,0.07313110794912672,0.001666666666666667,0.012291666666666668,0.049953154227459794,0.013333333333333334,0.12305115753987775,0.859375,0.02760416666666667,96,42,48
Gpt 5 mini,0.278125,0.8723958333333334,0.06190476190476191,0.9989583333333334,0.05011907645353939,0.001979166666666667,0.015,0.03916666666666667,0.0035714285714285718,0.10690476190476189,0.9166666666666666,0.0,96,42,48
Grok 3 Mini,0.3963541666666666,0.8348958333333334,0.03095238095238096,0.9969482518871672,0.10830534726708481,0.030197169528258138,0.040015806473853215,0.10755034056691876,0.0054761904761904765,0.07833333333333334,0.78125,0.004375,96,42,48
Grok 4,0.45677083333333335,0.7843750000000002,0.11309523809523811,0.9968750000000001,0.03532287763613444,0.021666666666666667,0.03432291666666667,0.035104166666666665,0.0009523809523809524,0.06142857142857142,0.75,0.0,96,42,48
Hunyuan A13B Instruct,0.2921875,0.8015625000000001,0.07380952380952381,0.9979166666666667,0.10038774175936081,0.007989583333333335,0.020906249999999998,0.038229166666666675,0.0002380952380952381,0.0688095238095238,0.796875,0.0010416666666666667,96,42,48
Inception Mercury,0.23958333333333334,0.8010416666666668,0.054761904761904755,0.9925808720112519,0.06478862110687143,0.0009375,0.009845500700280113,0.07095498084764787,0.0,0.053869047619047615,0.828125,0.0,96,42,48
Kimi K2,0.2942708333333333,0.8057291666666666,0.030952380952380953,0.9791666666666666,0.10844867051123006,0.0015624999999999999,0.025083333333333336,0.026187500000000002,0.0020714285714285713,0.07003571428571427,0.8125,0.0,96,42,48
Liquid LFM 40B MoE,0.28281249999999997,0.7338541666666667,0.030952380952380953,0.9646293571933887,0.08061510191224865,0.0014583333333333334,0.007177083333333333,0.12115083956841122,0.0016666666666666668,0.1438961038961039,0.7916666666666666,0.010416666666666666,96,42,48
Llama 3.1 8B Instruct,0.19791666666666666,0.5677083333333334,0.02619047619047619,0.8206718155581793,0.036797214943378266,0.014049531826973799,0.006354166666666667,0.04373554221519765,0.5067363354037268,0.15118768115942027,0.5416666666666666,0.29791666666666666,96,42,48
Llama 3.3 70b,0.25416666666666665,0.6625,0.016666666666666666,0.9968749999999998,0.087438950117902,0.0070625,0.010197916666666666,0.02783854166666667,0.3084142857142857,0.06889047619047618,0.6822916666666666,0.20833333333333334,96,42,48
Llama 4 Maverick,0.23749999999999996,0.7848958333333332,0.005952380952380952,0.9562499999999999,0.0068954039616249295,0.0055937500000000015,0.007083333333333333,0.040742984693877556,0.017461904761904762,0.06730238095238095,0.7760416666666666,0.08125,96,42,48
Llama 4 Scout,0.18333333333333335,0.8145833333333332,0.002380952380952381,0.9968749999999998,0.1692921274064525,0.007291666666666666,0.010104166666666666,0.032031250000000004,0.02706921768707483,0.07886972789115647,0.796875,0.07708333333333334,96,42,48
MAI DS R1,0.2833333333333333,0.8354166666666666,0.06309523809523811,0.9979166666666667,0.0866884978724555,0.005291666666666667,0.018635416666666665,0.07837163545680038,0.0007142857142857143,0.1079904761904762,0.8020833333333334,0.0,96,42,48
Mistral Magistral Small 2506,0.26718749999999997,0.6645833333333333,0.041666666666666664,0.9562500000000002,0.06250167863582354,0.0016354166666666667,0.00934375,0.03151041666666667,0.02666666666666667,0.11050595238095239,0.6979166666666666,0.11562499999999999,96,42,48
