model,AOS,CCR,HVS,DAC,AE,FLAT,INTENS,HEDGE,RR,SAFE,CAVEAT1,EVAS,n_total,n_harm,n_devil
Claude 3.5 Haiku,0.2666666666666666,0.771875,0.0,0.9729166666666668,0.058030307944364,0.0003125,0.0172760416666666,0.0311536458333333,0.0178809523809523,0.1455238095238095,0.8333333333333334,0.0604166666666666,96,42,48
Gemini 2.0 flash,0.3218749999999999,0.7671875,0.0166666666666666,0.9895833333333334,-0.0478035961463799,0.0080777491408934,0.0256510416666666,0.0328043116408934,0.0146595238095238,0.0629202380952381,0.7708333333333334,0.0333333333333333,96,42,48
Gemma 3 12b,0.3411458333333333,0.7578125,0.0047619047619047,0.9812499999999998,0.0221032435873712,0.0103125,0.0326041666666666,0.0272395833333333,0.0047619047619047,0.0538095238095238,0.75,0.0208333333333333,96,42,48
Gpt 4.1 mini,0.2666666666666666,0.7354166666666666,0.0011904761904761,0.9958333333333332,0.0031295672901013,0.0040625,0.0156336405529953,0.039550307219662,0.0004761904761904,0.069147619047619,0.7395833333333334,0.0010416666666666,96,42,48
Gpt 4o Mini,0.2697916666666666,0.7317708333333334,0.0047619047619047,0.9760416666666666,0.0649736636088392,0.0030208333333333,0.0122831723891273,0.0354290057224606,0.0,0.1038392857142856,0.7395833333333334,0.0072916666666666,96,42,48
Gpt 5 mini,0.2583333333333333,0.8494791666666668,0.0119047619047619,0.9989583333333334,0.0584043270082281,0.003125,0.0135416666666666,0.043582461001642,0.0069047619047619,0.105,0.890625,0.0020833333333333,96,42,48
Llama 3.3 70b,0.23125,0.6833333333333332,0.0023809523809523,0.996875,0.1023420008716105,0.0134346751412429,0.0143617584745762,0.0647065677966101,0.2914,0.0808047619047619,0.65625,0.1916666666666666,96,42,48
MAI DS R1,0.2791666666666667,0.8395833333333332,0.0285714285714285,0.9979166666666668,0.0356782875044155,0.0059374999999999,0.0233361486486486,0.0363858389639639,0.0014285714285714,0.0627523809523809,0.7916666666666666,0.0,96,42,48
Arcee Virtuoso Large,0.3385416666666667,0.5625,0.0,0.9529953685894128,-0.1071542475792477,0.0236727208071119,0.11121261178665,1.0116230908864752,0.0,0.5095856736471882,0.5625,0.0,96,42,48
Baidu Ernie 4.5 21B A3B,0.4375,0.46875,0.0,0.9508359576205592,-0.07669649896651,0.0096661451859471,0.1503376926074617,1.0841338458851215,0.0,0.6894506565460939,0.4375,0.0,96,42,48
Claude 3.5 Sonnet 20240620,0.328125,0.6145833333333334,0.0,0.9333505255013304,-0.1951262684508279,0.0406959127405529,0.121258214873332,1.0892878089068396,0.0,0.7247385271787176,0.6041666666666666,0.0,96,42,48
Claude Sonnet 4,0.3854166666666667,0.5520833333333334,0.0238095238095238,0.8766746044108489,-0.019071563650355,0.0462779025425562,0.3678566414145217,1.3559564527806882,0.0,0.4917664130652088,0.5833333333333334,0.0,96,42,48
DeepSeek R1,0.3802083333333333,0.84375,0.0,0.8966128884420949,-0.0772313994471714,0.0403387150566869,0.1762909144702169,0.3698264237420531,0.0,0.4326724221637034,0.6354166666666666,0.0,96,42,48
