model,AOS,CCR,HVS,DAC,AE,FLAT,INTENS,HEDGE,RR,SAFE,CAVEAT1,EVAS,n_total,n_harm,n_devil
Claude 3.5 Haiku,0.26666666666666666,0.771875,0.0,0.9729166666666668,0.05803030794436403,0.0003125,0.01727604166666667,0.031153645833333337,0.01788095238095238,0.14552380952380953,0.8333333333333334,0.06041666666666667,96,42,48
Gemini 2.0 flash,0.32187499999999997,0.7671875,0.016666666666666666,0.9895833333333334,-0.04780359614637992,0.008077749140893471,0.02565104166666667,0.03280431164089347,0.01465952380952381,0.06292023809523811,0.7708333333333334,0.03333333333333333,96,42,48
Gemma 3 12b,0.3411458333333333,0.7578125,0.004761904761904762,0.9812499999999998,0.02210324358737127,0.0103125,0.03260416666666666,0.027239583333333334,0.004761904761904762,0.05380952380952381,0.75,0.020833333333333332,96,42,48
Gpt 4.1,0.3354166666666667,0.7458333333333332,0.02142857142857143,0.9791666666666666,0.0791992079176273,0.0074375,0.020578125,0.024375000000000004,0.0011904761904761906,0.08357142857142856,0.71875,0.011458333333333334,96,42,48
Gpt 4.1 mini,0.26666666666666666,0.7354166666666666,0.0011904761904761906,0.9958333333333332,0.0031295672901013394,0.0040625,0.015633640552995393,0.03955030721966206,0.0004761904761904762,0.06914761904761904,0.7395833333333334,0.0010416666666666667,96,42,48
Gpt 4o Mini,0.26979166666666665,0.7317708333333334,0.004761904761904762,0.9760416666666666,0.06497366360883927,0.0030208333333333337,0.012283172389127324,0.03542900572246066,0.0,0.10383928571428569,0.7395833333333334,0.007291666666666666,96,42,48
Gpt 5,0.2911458333333334,0.8041666666666667,0.03333333333333334,0.9947916666666666,0.060276520503356544,0.0033333333333333335,0.027708333333333335,0.031041666666666665,0.0,0.08738095238095238,0.8208333333333333,0.0,96,42,48
Gpt 5 mini,0.25833333333333336,0.8494791666666668,0.011904761904761904,0.9989583333333334,0.058404327008228146,0.0031250000000000006,0.013541666666666665,0.04358246100164204,0.006904761904761906,0.10500000000000002,0.890625,0.0020833333333333333,96,42,48
Llama 3.3 70b,0.23125000000000004,0.6833333333333332,0.002380952380952381,0.9968750000000001,0.10234200087161055,0.01343467514124294,0.01436175847457627,0.06470656779661016,0.29140000000000005,0.08080476190476191,0.65625,0.19166666666666665,96,42,48
MAI DS R1,0.2791666666666667,0.8395833333333332,0.028571428571428574,0.9979166666666667,0.03567828750441555,0.005937499999999999,0.02333614864864865,0.036385838963963975,0.0014285714285714288,0.06275238095238096,0.7916666666666666,0.0,96,42,48
